filename,query,category,width,height,aspect_ratio,file_size_kb,resolution_ok,likely_indoor_ratio,source_url
standard_毛坯房客厅_98ce88f3.jpg,毛坯房客厅,standard,768,1024,0.75,121.7,True,False,https://pic.nximg.cn/file/20230617/21413768_222941564108_2.jpg
standard_毛坯房客厅_a83b7e59.jpg,毛坯房客厅,standard,768,1024,0.75,108.8,True,False,https://pic.nximg.cn/file/20230617/21413768_223203582105_2.jpg
standard_毛坯房客厅_2c8314a0.jpg,毛坯房客厅,standard,768,1024,0.75,107.8,True,False,https://pic.nximg.cn/file/20230617/21413768_223644838100_2.jpg
standard_毛坯房客厅_411649f3.jpg,毛坯房客厅,standard,768,1024,0.75,89.2,True,False,https://pic.nximg.cn/file/20230617/21413768_224112804101_2.jpg
standard_毛坯房客厅_ee37dbc6.jpg,毛坯房客厅,standard,768,1024,0.75,108.4,True,False,https://pic.nximg.cn/file/20230617/21413768_223453012104_2.jpg
standard_毛坯房客厅_09c63cf7.jpg,毛坯房客厅,standard,768,1024,0.75,115.8,True,False,https://pic.nximg.cn/file/20230617/21413768_223307408109_2.jpg
standard_毛坯房客厅_f4c8ecee.jpg,毛坯房客厅,standard,768,1024,0.75,115.9,True,False,https://pic.nximg.cn/file/20230617/21413768_222958103105_2.jpg
standard_毛坯房客厅_03f3cd3f.jpg,毛坯房客厅,standard,768,1024,0.75,78.6,True,False,https://pic.nximg.cn/file/20230617/21413768_224014525102_2.jpg
standard_毛坯房客厅_7aad83f9.jpg,毛坯房客厅,standard,768,1024,0.75,199.9,True,False,https://pic.nximg.cn/file/20230617/21413768_222310139108_2.jpg
standard_毛坯房客厅_849480fd.jpg,毛坯房客厅,standard,768,1024,0.75,95.6,True,False,https://pic.nximg.cn/file/20230617/21413768_224004965109_2.jpg
standard_毛坯房卧室_32dcd737.jpg,毛坯房卧室,standard,766,1024,0.75,130.3,True,False,https://pic.nximg.cn/file/20230617/21413768_222150144104_2.jpg
standard_毛坯房卧室_4cd2920a.jpg,毛坯房卧室,standard,768,1024,0.75,188.2,True,False,https://pic.nximg.cn/file/20230617/21413768_221707581100_2.jpg
standard_毛坯房卧室_2a09b816.jpg,毛坯房卧室,standard,1024,768,1.33,119.6,True,True,https://pic.nximg.cn/file/20230617/21413768_222549117102_2.jpg
standard_毛坯房卧室_5df76954.jpg,毛坯房卧室,standard,768,1024,0.75,172.5,True,False,https://pic.nximg.cn/file/20230617/21413768_222123908109_2.jpg
standard_毛坯房卧室_7f37d9fe.jpg,毛坯房卧室,standard,766,1024,0.75,150.5,True,False,https://pic.nximg.cn/file/20230617/21413768_224300468109_2.jpg
standard_毛坯房卧室_411649f3.jpg,毛坯房卧室,standard,768,1024,0.75,89.2,True,False,https://pic.nximg.cn/file/20230617/21413768_224112804101_2.jpg
standard_毛坯房卧室_d0cce877.jpg,毛坯房卧室,standard,1024,768,1.33,159.8,True,True,https://pic.nximg.cn/file/20230617/21413768_224012100109_2.jpg
standard_毛坯房卧室_5fe940fa.jpg,毛坯房卧室,standard,768,1024,0.75,142.2,True,False,https://pic.nximg.cn/file/20230617/21413768_222254214103_2.jpg
standard_毛坯房卧室_849480fd.jpg,毛坯房卧室,standard,768,1024,0.75,95.6,True,False,https://pic.nximg.cn/file/20230617/21413768_224004965109_2.jpg
standard_毛坯房卧室_2efda587.jpg,毛坯房卧室,standard,1536,2048,0.75,478.5,True,False,https://pica.zhimg.com/v2-f14c37dfaf5e638fa7991b13bf94b508_r.jpg?source=1940ef5c
standard_毛坯房厨房_32dcd737.jpg,毛坯房厨房,standard,766,1024,0.75,130.3,True,False,https://pic.nximg.cn/file/20230617/21413768_222150144104_2.jpg
standard_毛坯房厨房_5df76954.jpg,毛坯房厨房,standard,768,1024,0.75,172.5,True,False,https://pic.nximg.cn/file/20230617/21413768_222123908109_2.jpg
standard_毛坯房厨房_a5d6ac53.jpg,毛坯房厨房,standard,768,1024,0.75,181.5,True,False,https://pic.nximg.cn/file/20230617/21413768_223158448109_2.jpg
standard_毛坯房厨房_411649f3.jpg,毛坯房厨房,standard,768,1024,0.75,89.2,True,False,https://pic.nximg.cn/file/20230617/21413768_224112804101_2.jpg
standard_毛坯房厨房_d0cce877.jpg,毛坯房厨房,standard,1024,768,1.33,159.8,True,True,https://pic.nximg.cn/file/20230617/21413768_224012100109_2.jpg
standard_毛坯房厨房_ee37dbc6.jpg,毛坯房厨房,standard,768,1024,0.75,108.4,True,False,https://pic.nximg.cn/file/20230617/21413768_223453012104_2.jpg
standard_毛坯房厨房_b4d1ddb2.jpg,毛坯房厨房,standard,658,877,0.75,115.9,True,False,https://gd-hbimg.huaban.com/1ebe64b39c7bf6ba9c08ecdc82aad2183baf747722a82-XM8QmS_fw658
standard_毛坯房厨房_32bff511.jpg,毛坯房厨房,standard,1024,768,1.33,139.9,True,True,https://pic.nximg.cn/file/20230617/21413768_222046346105_2.jpg
standard_毛坯房厨房_af720a4d.jpg,毛坯房厨房,standard,1024,768,1.33,105.0,True,True,https://pic.nximg.cn/file/20230617/21413768_224200588102_2.jpg
standard_毛坯房厨房_594c0e77.jpg,毛坯房厨房,standard,768,1024,0.75,130.8,True,False,https://pic.nximg.cn/file/20230617/21413768_221756844100_2.jpg
standard_毛坯房卫生间_8e886a27.jpg,毛坯房卫生间,standard,1440,1920,0.75,518.0,True,False,https://pic2.zhimg.com/v2-1d33539d5a4c65b205b73d8752cd6495_1440w.jpg
standard_毛坯房卫生间_2bdbc052.jpg,毛坯房卫生间,standard,600,430,1.4,43.5,True,True,https://pic2.zhimg.com/v2-4b6b2b2d2dcbc63486321236bf6e2e5b_r.jpg
